NB;NAME;NAME_MOD;COUNTRY;LATITUDE;LONGITUDE;FOUNDATION;Mi;My;Pn;AUTH_ANC;AUTH_MOD;DOC1_Papers;DOC2_papers;DOC3_www;DOC4_www;WIKIPEDIA;PLEIADES;DARE;TRISMEGISTOS;TOPOSText;AM;PP;RE;SI;SU;PS;BW;QU;PL;MO;CN;SL;SH;SY;EX;LK;PH;HO;VM;FT;FP;QR;FO;SW
4,1;;Neolithic settlements at Lietzow, on Rügen island;Germany;54,48100;13,50800;-5000;;;;;;Lübke (2000);;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;;;
4,2;;Stralsund, with logboat wrecks;Germany;54,31870;13,09130;-5000;;;;;Logboat wrecks at Mischwasserspeicher;Klooss (2009);;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;;;X
4,3;;Varpelev, with logboat wreck, on R Tryggevaelde;Denmark;55,35460;12,26290;-1000;;;;;Logboat wreck at Varpelev;Kastholm (2012);;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;;;X
4,4;;Nydam;Denmark;54,96100;9,72550;350;;;;;famous shipwrecks at Nydam farm;;;https://www.abc.se/~m10354/uwa/nydam-e.htm;https://www2.rgzm.de/navis2/home/frames.htm;https://en.wikipedia.org/wiki/Longship;;;;;m;;;;;;;;;;;;;;;;;;;;;;;X
4,5;;Hjortspring;Denmark;55,00830;9,84830;-350;;;;;famous shipwreck at Hjortspring farm;;http://axelnelson.com/skepp/prewiking.html;https://www.hjortspring.dk/;;https://en.wikipedia.org/wiki/Hjortspring_boat;;;;;m;;;;;;;;;;;;;;;;;;;;;;;X
4,6;;Skaghorn Syd, submerged BA settlement;Denmark;55,16363;9,98367;-1000;;;;;;;;http://splashcos-viewer.eu/;;;;;;;m;;rs;;;;;;;;;;;;;;;;;;;;;
4,7;;Submerged Neolithic settlement at Tybrind Vig, on Fyn island;Denmark;55,39470;9,82620;-5000;;;;;shipwrecks at Tybrind Vig;Malm (1995);;;https://www.encyclopedia.com/humanities/encyclopedias-almanacs-transcripts-and-maps/tybrind-vig;;;;;;m;;rs;;;;;;;;;;;;;;;;;;;;;X
4,8;;Husby Klit, submerged BA settlement;Denmark;56,29770;8,12310;-1100;;;;;;;;http://splashcos-viewer.eu/;;;;;;;m;;rs;;;;;;;;;;;;;;;;;;;;;
5;Abalus insula, Saxonum insulae? near Elektrides insulae? In front of R Visurgis?;Isles of Helgoland? near Frisian islands in front of R Weser?;Germany;54,18250;7,88528;-30;;;;"Pytheas quoted by: Pliny, Hist Nat, 37, 11 ; Marcian, Peripl, 2, 32";;;;;;;http://pleiades.stoa.org/places/98907;http://imperium.ahlfeldt.se/places/41732;https://www.trismegistos.org/place/61171;https://topostext.org/place/535055WVis;a;;;;;X;;;;;;;;;;;;;;;;;;
6;Mararmano, Manarmani, Meermanno;in The Netherlands between R Vidrus (R Oude Rijn?) and R Amisius (R Eems), possibly at Hoge Berg near Den Burg, on the isle of Texel that was still connected to the mainland;Netherlands;53,04149;4,82515; ;;;;Marcian, Peripl, 2, 32;Lehmann;Zeeuws Museum (2018);;;;;http://pleiades.stoa.org/places/101207;;;;a;;;X;;X;;;;;;;;;;;;;;;;;;
6,1;;Wieringermeer, near Den Oever, with logboat wreck;Netherlands;52,90440;5,05840;-3000;;;;;Logboat wreck at Dijkgatsweide;Kruidhof (2011);;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;;;X
6,2;;Pesse, world's oldest shipwreck (logboat);Netherlands;52,76200;6,45200;-8000;;;;;Logboat wreck at Pesse;Beuker (1997);;http://bootvanpesse.com/;;https://en.wikipedia.org/wiki/Pesse_canoe;;;;;m;;;;;;;;;;;;;;;;;;;;;;;X
6,3;;Kadoelerveld, near Kraggenburg, inside a modern polder, with logboat wreck;Netherlands;52,66454;5,93845;-500;;;;;Logboat at Kadoelerveld;Maarleveld (2009);;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;;;X
7;;Uitgeest-Groot Dorregeest;Netherlands;52,54036;4,72310;-2500;;;;;Logboat wreck;;;;https://vici.org/vici/21519/;https://en.wikipedia.org/wiki/Uitgeest;http://pleiades.stoa.org/places/99049;;;;m;;;X;;X;;;;;;;;;;;;;;;;;;X
8;Flevum;Velsen, west ofAmsterdam, on R Oer-IJ;Netherlands;52,45887;4,66668;-2500;;;;;Trethewey;Seinen (2014);Brouwers (2006);https://www2.rgzm.de/navis2/home/frames.htm;https://vici.org/vici/57/;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;http://pleiades.stoa.org/places/99058;;;;m;;rs;X;;X;;X;;;;;;;;;X?;;;;;;X;
9;Lugdunum Batavorum, Brittenburg, Calla, at the ancient outlet of R Rhenus, R Vidrus?;Roman fort still visible in the 17th c. at LLW, but now submerged offshore Katwijk, near the outlet of R Oude Rijn (R Old Rhine) which was the northern limit of the Roman empire and was navigable over a long distance, with many river ports;Netherlands;52,21348;4,39324; ;;;;Zosimos, Hist, 3;Trethewey, Dhaeze;;Zeeuws Museum (2018);https://maritime-heritage.com/articles/wrecks-waterways;https://vici.org/vici/58/;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;http://pleiades.stoa.org/places/99003;http://imperium.ahlfeldt.se/places/4460;https://www.trismegistos.org/place/24465;;a;;rs;;;;;;;;;;;;;;X?;;;;;;X;
10;Praetorium Agrippinae, on R Rhenus;Valkenburg, Marktveld, with recently discovered large Roman fort, 500 m south, on R Oude Rijn;Netherlands;52,18033;4,43310; ;;;;;;Seinen (2014);Zeeuws Museum (2018);https://www.youtube.com/watch?v=_xsfgaX2gq0;https://vici.org/vici/59/;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;http://pleiades.stoa.org/places/99021;http://imperium.ahlfeldt.se/places/2104;https://www.trismegistos.org/place/10925;;m;;rs;X;;X;;X;;;;;;;;;;;;;;;X;
11;Matilo, at northern end of Fossa Corbulonis, Corbulo canal between R Rhenus and R Mosa;Leiden, Roomburg, on R Oude Rijn;Netherlands;52,14971;4,51841;100;;;;Tacitus, Annales, 11, 20;shipwreck;Seinen (2014);Zeeuws Museum (2018);;https://vici.org/vici/60/;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;http://pleiades.stoa.org/places/99008;http://imperium.ahlfeldt.se/places/14362;https://www.trismegistos.org/place/24537;;a;;rs;X;;;;X;;;;X;;;;;;;;;;;X;X
11,1;On R Rhenus;Westervaartpark, near Hazerswoude-Rijndijk, on R Oude Rijn;Netherlands;52,12700;4,57790;120;;;;;;;;Algemeen Dagblad (2021);;;;;;;m;;r;;;;;;;;;;;;;;;;;;;;X?;
12;Albaniana, on R Rhenus;Alphen a/d Rijn, on R Oude Rijn;Netherlands;52,12917;4,66139; ;;;;;;Seinen (2014);;;https://vici.org/vici/61/;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;http://pleiades.stoa.org/places/98908;http://imperium.ahlfeldt.se/places/4458;https://www.trismegistos.org/place/24464;;m;;rs;X;;;;X;;;;;;;;;;;;;;;X;
13;Nigrum Pullum, on R Rhenus;Zwammerdam, on R Oude Rijn;Netherlands;52,10500;4,71583; ;;;;;shipwrecks;Seinen (2014);Brouwers (2006);;https://vici.org/vici/62/;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;http://pleiades.stoa.org/places/99014;http://imperium.ahlfeldt.se/places/4457;https://www.trismegistos.org/place/24869;;m;;rs;X;;X;;X;;;;;;;;;;;;;;;X;X
14;Laurium, on R Rhenus;Woerden, Kruittorenweg & Havenstraat, on R Oude Rijn;Netherlands;52,08507;4,88227; ;;;;;shipwrecks;Seinen (2014);Brouwers (2006);;https://vici.org/vici/52/;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;http://pleiades.stoa.org/places/98997;http://imperium.ahlfeldt.se/places/2105;https://www.trismegistos.org/place/24553;;m;;rs;X;;X;;X;;;;;;;;;;;;;;;X;X
15;Fletio, on R Rhenus;Utrecht, Hoge Woerd, on R Oude Rijn;Netherlands;52,08755;5,04177; ;;;;;shipwrecks at De Meern;Seinen (2014);Brouwers (2006);;https://vici.org/vici/54/;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;;;;;m;;rs;X;;;;X;;;;;;;;;;;;;;;X;X
15,1;Traiectum, on R Rhenus;Utrecht, Domplein, on R Kromme Rijn;Netherlands;52,09070;5,12190;50;;;;;;;;;https://vici.org/vici/53/;https://en.wikipedia.org/wiki/Traiectum_(Utrecht);https://pleiades.stoa.org/places/99046;http://imperium.ahlfeldt.se/places/38;https://www.trismegistos.org/place/3351;;m;;;;;;;;;;;;;;;;;;;;;;;
16;Fectio, on R Rhenus;Vechten, on R Kromme Rijn;Netherlands;52,05611;5,16556; ;;;;;shipwreck at De Burg;Seinen (2014);Brouwers (2006);;https://vici.org/vici/49/;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;http://pleiades.stoa.org/places/98956;http://imperium.ahlfeldt.se/places/1536;https://www.trismegistos.org/place/24551;;m;;rs;X;;;;X;;;;;;;;;;;;;;;X;X
17;Levefanum, on R Rhenus;Wijk bij Duurstede, on R Rijn;Netherlands;51,96250;5,35278; ;;;;;;;;https://www2.rgzm.de/navis2/home/frames.htm;https://vici.org/vici/63/;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;http://pleiades.stoa.org/places/98998;;;;m;;;X;;;;;;;;;;;;;;;;;;;X;
18;Mannaricium, on R Rhenus;Elst-'t Spijk, on R Rijn;Netherlands;51,98800;5,47450; ;;;;;;;;;https://vici.org/vici/64/;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;http://pleiades.stoa.org/places/98933;http://imperium.ahlfeldt.se/places/2114;https://www.trismegistos.org/place/40432;;m;;;;;X;;;;;;;;;;;;;;;;;X;
19;Carvo, Carvone, on R Rhenus;Kesteren, near R Rijn;Netherlands;51,92972;5,56250; ;;;;;Shipwreck at Druten;;Brouwers (2006);;https://vici.org/vici/65/;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;http://pleiades.stoa.org/places/99007;;;;m;;;X;;;;;;;;;;;;;;;;;;;X;X
20;Castra Herculis, on R Rhenus;Arnhem, Meinerswijk, on R Rijn;Netherlands;51,97083;5,87361; ;;;;;;;;;https://vici.org/vici/66/;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;http://pleiades.stoa.org/places/98934;;;;m;;;X;;;;;;;;;;;;;;;;;;;X;
21;Carvium, on R Rhenus;Bijlandse Waard, on R Rijn;Netherlands;51,87279;6,07908; ;;;;;;;;https://arkeonews.net/archaeologists-discover-exceptional-ancient-roman-sanctuary-in-near-intact-condition-in-netherlands/;https://vici.org/vici/68/;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;http://pleiades.stoa.org/places/98932;;;;m;;;X;;;;;;;;;;;;;;;;;;;X;
22;Castra Vetera, Colonia Ulpia Trajana, on R Rhenus;Xanten, Archäologischen Park, on R Rhein;Germany;51,66980;6,44670; ;;;;;Shipwrecks at Lüttingen & Wardt;Seinen (2014);Brouwers (2006);Dempwolff (2019);https://www2.rgzm.de/navis2/home/frames.htm;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;http://pleiades.stoa.org/places/113312;;;;m;;rs;X;;X;;X;;;;;;;;;;;;;;;X;X
23;Ceuclum, on R Mosa;Roman bridge at Cuijk, on R Maas;Netherlands;51,72915;5,88425; ;;;;;;Seinen (2014);;;;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;http://pleiades.stoa.org/places/110232;;;;m;;rs;;;X;;X;;;;;;;;;;;;;;;X;
24;Oppidium Batavorum, on R Vacalus;Nijmegen, Hunnerpark, on R Waal;Netherlands;51,84699;5,87277; ;;;;;;;;;;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;http://pleiades.stoa.org/places/98921;http://imperium.ahlfeldt.se/places/384;https://www.trismegistos.org/place/24467;https://topostext.org/place/518059UBat;m;;;X;;X;;;;;;;;;;;;;;;;;X;
25;Noviomagus, on R Vacalus;Nijmegen, Maasplein, on R Waal;Netherlands;51,85001;5,84422; ;;;;;;;;;;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;http://pleiades.stoa.org/places/98921;;https://www.trismegistos.org/place/24467;;m;;;X;;X;;;;;;;;;;;;;;;;;X;
26;Grinnes, Grinnibus, on R Vacalus;Rossum, on R Waal;Netherlands;51,80111;5,34917; ;;;;;Shipwrecks at Kapel-Avezaath;;Brouwers (2006);;;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;http://pleiades.stoa.org/places/98967;http://imperium.ahlfeldt.se/places/2111;https://www.trismegistos.org/place/41020;;m;;;X;;;;;;;;;;;;;;;;;;;X;X
26,1;;Hardinxfeld-Giessendam, on R Beneden Merwede, one of the Rhine delta branches;Netherlands;51,8316;4,8503;-5500;;;;;Logboat wreck at De Bruin;;;;https://www2.rgzm.de/navis2/home/frames.htm;https://en.wikipedia.org/wiki/Hardinxveld-Giessendam;;;;;m;;;;;;;;;;;;;;;;;;;;;;;X
27;;Wassenaar, Kleine Pan;Netherlands;52,1471;4,3479;;;;;;Dhaeze;;;;https://vici.org/vici/39765/;https://en.wikipedia.org/wiki/Wassenaar;;;;;m;;;;;;;;;;;;;;;;;;;;;;X?;
27,1;;Scheveningseweg, The Hague;Netherlands;52,099;4,2795;50;;;;;Dhaeze;;;;https://vici.org/vici/74/;https://en.wikipedia.org/wiki/The_Hague;;;;;m;;;;;;;;;;;;;;;;;;;;;;X?;
28;Forum Hadriani, on Fossa Corbulonis;Park Arentsburgh, at Voorburg, on R Vliet;Netherlands;52,05900;4,34862;160;;;;Tacitus, Annales, 11, 20;Lendering, Dhaeze;Zeeuws Museum (2018);;Lendering;https://vici.org/vici/19581/;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;http://pleiades.stoa.org/places/98918;http://imperium.ahlfeldt.se/places/13018;https://www.trismegistos.org/place/24466;;a;;rs;X;;;;X;;;X;;;;;;;;;;;;X;
28,1;on Fossa Corbulonis;Rijswijk De Bult, with settlement at Tubasingel;Netherlands;52,03090;4,32670;-3500;;;;;;;;;https://vici.org/vici/37/;https://nl.wikipedia.org/wiki/Rijswijk_(Zuid-Holland);https://pleiades.stoa.org/places/99028;http://imperium.ahlfeldt.se/places/13017;https://www.trismegistos.org/place/24547;;m;;;;;;;;;;X;;;;;;;;;;;;;
28,2;;Roman fort at Ockenburgh;Netherlands;52,05660;4,21050; ;;;;;Dhaeze;Zeeuws Museum (2018);Waasdorp (2012);;https://vici.org/vici/73/;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;;http://imperium.ahlfeldt.se/places/39126;;;m;;;X;;;;;;;;;;;;;;;;;;;X;
28,3;;Poeldijk;Netherlands;52,02790;4,23220;;;;;;Dhaeze;;;;https://vici.org/vici/20240/;https://en.wikipedia.org/wiki/Poeldijk;;;;;m;;;;;;;;;;;;;;;;;;;;;;X?;
29;Helinio? near southern end of Fossa Corbulonis, at outlet of R Helinium, possible home port of Classis Germanica fleet;Naaldwijk, Zuidweg & Hoogwerf, Roman fort & naval base, near ancient outlet of R Maas, Meuse;Netherlands;51,98530;4,20610;-30;;;;Tacitus, Annales, 11, 20;Dhaeze;Zeeuws Museum (2018);de Bruin (2012);Feijst (2008);https://vici.org/vici/75/;https://en.wikipedia.org/wiki/Naaldwijk;https://pleiades.stoa.org/places/98978;http://imperium.ahlfeldt.se/places/13019;;;a;;;X;;;;;;;X;;;;;;;;;;;;X;
30;Flenio, Flenium;Vlaardingen? on R Lek;Netherlands;51,90400;4,30660;-800;;;;;Logboat wreck at De Vergulde Hand West;Eijskoot (2011);;;https://vici.org/vici/2534/;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;;http://imperium.ahlfeldt.se/places/19964;;;m;;;X;;X;;;;;;;;;;;;;;;;;;X
31;R Mosa;submerged offshore of Oostvoorne, Brielse Meer, at outlet of R Oude Maas, Meuse;Netherlands;51,93100;4,11400; ;;;;;Lendering, Dhaeze;Zeeuws Museum (2018);;Lendering;https://vici.org/vici/19216/;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;https://pleiades.stoa.org/places/109180;http://imperium.ahlfeldt.se/places/2103;;;m;;rs;;;X;;;;;;;;;;;;;;;;;X?;
32;;"“Oude Wereld” probably submerged offshore of Goedereede, on the isle of Goeree, remains were seen last in 1618 at a place called ""Windglap"" located in the Zandgors dunes";Netherlands;51,84284;3,93384;50;;;;;Lendering, Dhaeze;Hazenberg (2020);;Lendering;;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;;http://imperium.ahlfeldt.se/places/18979;;;m;;rs;;;;;X;;;;;;;;;;;;;;;X?;
32,1;;De Oude Oostdijk, Goedereede, on the isle of Goeree;Netherlands;51,82300;3,98100;-30;;;;;Lendering;de Bruin (2012);;Lendering;https://vici.org/vici/440/;https://en.wikipedia.org/wiki/Goedereede;;;;;m;;;;;;;;;;;;;;;;;;;;;;;
33;Ganuenta, on R Tabuda, R Scaldis;submerged at 1.5 km NW of Colijnsplaat, votive altars to Nehalennia goddess, on R Oosterschelde, Eastern Scheldt;Netherlands;51,61750;3,82380;-30;;;;;Lendering;Zeeuws Museum (2018);;Lendering;https://vici.org/vici/66330/;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;http://pleiades.stoa.org/places/109000;http://imperium.ahlfeldt.se/places/17809;https://www.trismegistos.org/place/24543;;m;;rs;;;X;;;;;;;;;;;;;;;;;;
34;Romanorum portus;“De Roompot” submerged at the mouth of the Eastern Scheldt, between the isles of Walcheren and Schouwen;Netherlands;51,64000;3,66000; ;;;;;Lendering (locates it near Wissenkerke), Dhaeze (locates it near Westenschouwen);Zeeuws Museum (2018);;Lendering;https://vici.org/vici/19364/;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;;http://imperium.ahlfeldt.se/places/18981;;;m;;rs;;;;;;;;;;;;;;;;;;;;X;
34,1;;Domburg, submerged votive altars to Nehalennia goddess;Netherlands;51,56800;3,48730;;;;;;;Zeeuws Museum (2018);;https://pcvdklis.home.xs4all.nl/zonnehove/domburg/domburg.htm;https://vici.org/vici/109;https://nl.wikipedia.org/wiki/Geschiedenis_van_Domburg;https://pleiades.stoa.org/places/108929;imperium.ahlfeldt.se/places/2101;https://www.trismegistos.org/place/24872;;m;;rs;;;;;;;;;;;;;;;;;;;;;
34,2;;Oranjezon, near Oostkapelle;Netherlands;51,60000;3,58000;50;;;;;Dhaeze;;;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;;X?;
34,3;;Roman dike & fireplace at Serooskerke, on the isle of Walcheren;Netherlands;51,53997;3,60770;200;;;;;;Dijkstra (2011);;Zuidhoff (2011);https://vici.org/vici/9712/;https://www.archeologiewalcheren.nl/archeologie/historie.htm;;;;;m;;;;;;;;;;;;;;;;;;;;;;;
34,4;R Tabuda, R Scaldis;Ellewoutsdijk, on R Westerschelde, Scheldt;Netherlands;51,38650;3,81320;-3000;;;;;;Zeeuws Museum (2018);;;https://www.livius.org/articles/place/scaldis-scheldt/;https://en.wikipedia.org/wiki/Scheldt;https://pleiades.stoa.org/places/109328;imperium.ahlfeldt.se/places/43897;https://www.trismegistos.org/place/50329;;m;;;;;;;;;;;;;;;;;;;;;;;
35;Rodanum? ;Roman fort at Aardenburg, with possible fortlets at Eede and Draaibrug;Netherlands;51,27820;3,44040;150;;;;;Lendering, Dhaeze;https://romeinsekust.nl/2020/06/14/;;Lendering;https://vici.org/vici/72/;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;http://pleiades.stoa.org/places/108722;http://imperium.ahlfeldt.se/places/2097;https://www.trismegistos.org/place/24521;;m;;r;X;;;;;;;;;;;;;;;;;;;X;
36;;Roman fort at Maldegem-Vake;Flanders;51,22298;3,42470; ;;;;;Lendering, Dhaeze;;;Lendering;https://vici.org/vici/10076;https://nl.wikipedia.org/wiki/Neder-Germaanse_limes;;http://imperium.ahlfeldt.se/places/18980;;;m;;r;X;;;;;;;;;;;;;;;;;;;X;
37;;Roman villa at Fort Lapin, Groot Handelsdok, Bruges, Brugge, on R Reie;Flanders;51,22510;3,22280;150;;;;;Dhaeze, Tranchant, shipwreck at Fort Lapin;;;;https://www2.rgzm.de/navis2/home/frames.htm;https://bruggein100objecten.wordpress.com/2016/05/27/de-boot-van-brugge/;http://pleiades.stoa.org/places/108830;http://imperium.ahlfeldt.se/places/2098;https://www.trismegistos.org/place/24789;;m;;;X;;X;;;;;;;;;;;;;X;;;;;X
38;;Wenduine;Flanders;51,30111;3,07920;-30;;;;;Tranchant;;;;;https://en.wikipedia.org/wiki/Wenduine;http://pleiades.stoa.org/places/109457;http://imperium.ahlfeldt.se/places/17808;https://www.trismegistos.org/place/47511;;m;;;;;;;;;;;;;;;;;;;;;;;
39;Aldenburgensis ;Roman fort at Oudenburg, on ancient R Kene, Keignaert;Flanders;51,18440;3,00440;200;;;;;Dhaeze;;;;;https://en.wikipedia.org/wiki/Oudenburg;http://pleiades.stoa.org/places/109235;http://imperium.ahlfeldt.se/places/2100;https://www.trismegistos.org/place/56977;;m;;;X;;;;;;;;;;;;;;;;;;;X;
39,1;;Stene, near Ostend;Flanders;51,20840;2,89240;;;;;;Shipwreck at Torhoutsesteenweg, 133, Ostende;Demey (2013);Ameryckx (1956);;;https://en.wikipedia.org/wiki/Ostend;;;;;m;;;;;;;;;;;;;;;;;;;;;;;X
39,2;;Roman dike at Raversijde, near Ostend;Flanders;51,19995;2,84820;;;;;;;Missiaen (2017);Pieters (2013);;;https://en.wikipedia.org/wiki/Raversijde;;;;;m;;;;;;;;;;;;;;;;;;;;;;;
39,3;R Isera;Nieuwpoort, on R IJzer, Yzer;Flanders;51,13700;2,74900;;;;;;AdG, shipwrecks;Morillo (2016);;;;https://en.wikipedia.org/wiki/Testerep;;;;;m;;;;;;;;;;;;;;;;;;;;;;;X
40;Pritani, Prettanoi, Prettanides, Brettannikai nesoi, Britannia, meant to include both Albion & Ierne;British Isles, including Great Britain & Ireland;UK;52,40000;-1,40000; ;;;;"Pliny, Hist Nat, 4, 30 ; Caesar, Guerre des Gaules, 5, 1 & 2, & 8-11 ; Marcian, Peripl, 2, 41";;;;;;https://en.wikipedia.org/wiki/Great_Britain;http://pleiades.stoa.org/places/20419;;;;a;;;;;;;;;;;;;;;;;;;;;;;
41;Orcades insulae;Orkney islands, North Scotland;UK;59,07437;-3,19681; ;;;;Antonine, Itin Mar;;;;;;https://en.wikipedia.org/wiki/Orkney;http://pleiades.stoa.org/places/89261;http://imperium.ahlfeldt.se/places/41731;https://www.trismegistos.org/place/19730;https://topostext.org/place/590000IOrc;a;;;;;;;;;;;;;;;;;;;;;;;
41,1;;Craig Phadrig oppidum;UK;57,47720;-4,26960;-500;;;;;;;;https://ancientmonuments.uk/121145;;;;;;;m;;;;;;;;;;;;;;;;;;;;;;X;
41,2;;Cullykhan oppidum;UK;57,68520;-2,27250;-500;;;;;;;;https://ancientmonuments.uk/124630;;;;;;;m;;;;;;;;;;;;;;;;;;;;;;X;
